cluster,n_materials,dominant_crystal_system_from_sg,crystal_system_count,crystal_system_fraction,top_crystal_systems_from_sg,representative_space_group,space_group_count,space_group_fraction,space_group_min,space_group_max,space_group_range,top_space_groups,dominant_pearson_symbol,pearson_symbol_count,pearson_symbol_fraction,top_pearson_symbols,dominant_pearson_crystal_family,pearson_crystal_family_count,pearson_crystal_family_fraction,top_pearson_crystal_families,dominant_bravais_lattice,bravais_lattice_count,bravais_lattice_fraction,top_bravais_lattices,pearson_atom_count_min,pearson_atom_count_max,pearson_atom_count_range,dominant_wyckoff_sequence,wyckoff_sequence_count,wyckoff_sequence_fraction,top_wyckoff_sequences,dominant_wyckoff_position,wyckoff_position_count,wyckoff_position_fraction,top_wyckoff_positions,c_a_ratio_min,c_a_ratio_max,c_a_ratio_mean,c_a_ratio_median,c_a_ratio_q25,c_a_ratio_q75,c_a_ratio_range,beta_angle_min,beta_angle_max,beta_angle_mean,beta_angle_median,beta_angle_q25,beta_angle_q75,beta_angle_range
23,455,Orthorhombic,455,1.0,"Orthorhombic (455, 100.0%)",65,182,0.4,21,67,21-67,"65 (182, 40.0%); 63 (153, 33.6%); 38 (73, 16.0%); 64 (13, 2.9%); 21 (11, 2.4%)",oC8,285,0.6263736263736264,"oC8 (285, 62.6%); oC12 (109, 24.0%); oC10 (29, 6.4%); oC4 (19, 4.2%); oC6 (13, 2.9%)",Orthorhombic,455,1.0,"Orthorhombic (455, 100.0%)",C (base-centered C),455,1.0,"C (base-centered C) (455, 100.0%)",4,12,4-12,c2,135,0.2967032967032967,"c2 (135, 29.7%); b2a2 (44, 9.7%); ifdb (26, 5.7%); lda (26, 5.7%); eba (25, 5.5%)",c,362,0.28149300155520995,"c (362, 28.1%); a (273, 21.2%); b (188, 14.6%); i (113, 8.8%); d (82, 6.4%); j (76, 5.9%); f (65, 5.1%); e (37, 2.9%)",0.3632459613331915,5.842710932255237,1.211924313540708,0.9934867511665578,0.8094702576662354,1.2582421329308093,0.363-5.843,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
24,455,Orthorhombic,455,1.0,"Orthorhombic (455, 100.0%)",25,85,0.18681318681318682,18,69,18-69,"25 (85, 18.7%); 51 (78, 17.1%); 47 (69, 15.2%); 58 (66, 14.5%); 65 (55, 12.1%)",oP8,129,0.2835164835164835,"oP8 (129, 28.4%); oP6 (126, 27.7%); oP4 (102, 22.4%); oC4 (47, 10.3%); oP10 (20, 4.4%)",Orthorhombic,455,1.0,"Orthorhombic (455, 100.0%)",P (primitive),399,0.8769230769230769,"P (primitive) (399, 87.7%); C (base-centered C) (55, 12.1%); F (face-centered) (1, 0.2%)",2,10,2-10,ga,46,0.1010989010989011,"ga (46, 10.1%); ca (45, 9.9%); fe (42, 9.2%); b2a2 (37, 8.1%); tqgedb (29, 6.4%)",a,414,0.25666460012399256,"a (414, 25.7%); b (298, 18.5%); c (197, 12.2%); d (173, 10.7%); g (130, 8.1%); e (127, 7.9%); f (94, 5.8%); t (60, 3.7%)",0.5211535120652679,10.677716537198805,1.9307100578389527,1.776789923018214,1.5265093352774364,2.020349207498068,0.521-10.678,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
25,300,Trigonal,300,1.0,"Trigonal (300, 100.0%)",164,300,1.0,164,164,164-164,"164 (300, 100.0%)",hP5,230,0.7666666666666667,"hP5 (230, 76.7%); hP4 (70, 23.3%)",Hexagonal/Trigonal family,300,1.0,"Hexagonal/Trigonal family (300, 100.0%)",P (primitive),300,1.0,"P (primitive) (300, 100.0%)",4,5,4-5,d2a,182,0.6066666666666667,"d2a (182, 60.7%); dba (56, 18.7%); d2b (42, 14.0%); d2 (12, 4.0%); dca (3, 1.0%)",d,536,0.6049661399548533,"d (536, 60.5%); a (241, 27.2%); b (101, 11.4%); c (8, 0.9%)",0.9267899297528296,10.466700165709923,1.8304386125142438,1.6794921207194833,1.5819908495812047,1.853754077725698,0.927-10.467,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
26,234,Cubic,234,1.0,"Cubic (234, 100.0%)",227,234,1.0,227,227,227-227,"227 (234, 100.0%)",cF24,224,0.9572649572649573,"cF24 (224, 95.7%); cF16 (10, 4.3%)",Cubic,234,1.0,"Cubic (234, 100.0%)",F (face-centered),234,1.0,"F (face-centered) (234, 100.0%)",16,24,16-24,da,124,0.5299145299145299,"da (124, 53.0%); cb (95, 40.6%); ba (10, 4.3%); db (5, 2.1%)",a,134,0.2863247863247863,"a (134, 28.6%); d (129, 27.6%); b (110, 23.5%); c (95, 20.3%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
27,184,Orthorhombic,184,1.0,"Orthorhombic (184, 100.0%)",63,184,1.0,63,63,63-63,"63 (184, 100.0%)",oC12,184,1.0,"oC12 (184, 100.0%)",Orthorhombic,184,1.0,"Orthorhombic (184, 100.0%)",C (base-centered C),184,1.0,"C (base-centered C) (184, 100.0%)",12,12,12-12,c3,114,0.6195652173913043,"c3 (114, 62.0%); gc (34, 18.5%); c2a (28, 15.2%); c2b (5, 2.7%); fc (3, 1.6%)",c,445,0.8640776699029126,"c (445, 86.4%); g (34, 6.6%); a (28, 5.4%); b (5, 1.0%); f (3, 0.6%)",0.6571842498007757,7.0617318477637046,1.3379264889441698,1.3754854825050016,0.9830907017461484,1.5729465007182828,0.657-7.062,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
28,268,Tetragonal,268,1.0,"Tetragonal (268, 100.0%)",127,268,1.0,127,127,127-127,"127 (268, 100.0%)",tP10,256,0.9552238805970149,"tP10 (256, 95.5%); tP8 (7, 2.6%); tP6 (4, 1.5%); tP4 (1, 0.4%)",Tetragonal,268,1.0,"Tetragonal (268, 100.0%)",P (primitive),268,1.0,"P (primitive) (268, 100.0%)",4,10,4-10,hga,220,0.8208955223880597,"hga (220, 82.1%); hgb (14, 5.2%); h2a (12, 4.5%); gcba (5, 1.9%); gcb (3, 1.1%)",h,266,0.3292079207920792,"h (266, 32.9%); g (248, 30.7%); a (245, 30.3%); b (29, 3.6%); c (12, 1.5%); d (8, 1.0%)",0.1059123341057022,0.7370646398755022,0.5306770033778536,0.5074692055925121,0.47824777792579753,0.5808050400285448,0.106-0.737,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
29,339,Hexagonal,339,1.0,"Hexagonal (339, 100.0%)",194,339,1.0,194,194,194-194,"194 (339, 100.0%)",hP6,339,1.0,"hP6 (339, 100.0%)",Hexagonal/Trigonal family,339,1.0,"Hexagonal/Trigonal family (339, 100.0%)",P (primitive),339,1.0,"P (primitive) (339, 100.0%)",6,6,6-6,dca,268,0.7905604719764012,"dca (268, 79.1%); fc (25, 7.4%); fb (17, 5.0%); fd (11, 3.2%); ed (9, 2.7%)",c,296,0.31223628691983124,"c (296, 31.2%); d (290, 30.6%); a (274, 28.9%); f (58, 6.1%); b (20, 2.1%); e (9, 0.9%); h (1, 0.1%)",0.812256850077582,7.163625089835074,2.031790221135961,1.6957459574647131,1.339872939451938,2.018914617004331,0.812-7.164,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
30,146,Orthorhombic,146,1.0,"Orthorhombic (146, 100.0%)",44,146,1.0,44,44,44-44,"44 (146, 100.0%)",oI12,52,0.3561643835616438,"oI12 (52, 35.6%); oI8 (36, 24.7%); oI10 (16, 11.0%); oI14 (13, 8.9%); oI16 (10, 6.8%)",Orthorhombic,146,1.0,"Orthorhombic (146, 100.0%)",I (body-centered),146,1.0,"I (body-centered) (146, 100.0%)",4,20,4-20,dba,29,0.19863013698630136,"dba (29, 19.9%); b3a3 (22, 15.1%); d2ba (16, 11.0%); b4a3 (8, 5.5%); dcba (8, 5.5%)",a,251,0.3803030303030303,"a (251, 38.0%); b (244, 37.0%); d (145, 22.0%); c (16, 2.4%); e (4, 0.6%)",1.0446937344721512,5.852221448859654,2.9664716795969905,3.165998490966837,1.9558822613717222,3.5162410292972375,1.045-5.852,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
31,205,Tetragonal,205,1.0,"Tetragonal (205, 100.0%)",129,205,1.0,129,129,129-129,"129 (205, 100.0%)",tP8,205,1.0,"tP8 (205, 100.0%)",Tetragonal,205,1.0,"Tetragonal (205, 100.0%)",P (primitive),205,1.0,"P (primitive) (205, 100.0%)",8,8,8-8,c2ba,164,0.8,"c2ba (164, 80.0%); c3b (26, 12.7%); c3a (15, 7.3%)",c,451,0.55,"c (451, 55.0%); b (190, 23.2%); a (179, 21.8%)",1.5020305564874032,3.044439722830268,2.242311327383777,2.218745695390808,2.130918520431204,2.3242898061587773,1.502-3.044,90.0,90.411505510541,90.00200734395385,90.0,90.0,90.0,90.00-90.41
32,509,Tetragonal,509,1.0,"Tetragonal (509, 100.0%)",123,509,1.0,123,123,123-123,"123 (509, 100.0%)",tP4,371,0.7288801571709234,"tP4 (371, 72.9%); tP2 (100, 19.6%); tP3 (33, 6.5%); tP1 (5, 1.0%)",Tetragonal,509,1.0,"Tetragonal (509, 100.0%)",P (primitive),509,1.0,"P (primitive) (509, 100.0%)",1,4,1-4,dcba,161,0.3163064833005894,"dcba (161, 31.6%); da (88, 17.3%); hba (84, 16.5%); eca (40, 7.9%); gdc (38, 7.5%)",a,453,0.29019859064702114,"a (453, 29.0%); d (338, 21.7%); b (283, 18.1%); c (260, 16.7%); h (92, 5.9%); g (52, 3.3%); e (48, 3.1%); f (35, 2.2%)",0.377272323690644,8.011845444310937,1.4939783484338591,1.398288200848893,1.1877758951491388,1.882974167727093,0.377-8.012,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
33,449,Cubic,449,1.0,"Cubic (449, 100.0%)",216,449,1.0,216,216,216-216,"216 (449, 100.0%)",cF12,449,1.0,"cF12 (449, 100.0%)",Cubic,449,1.0,"Cubic (449, 100.0%)",F (face-centered),449,1.0,"F (face-centered) (449, 100.0%)",12,12,12-12,dba,219,0.48775055679287305,"dba (219, 48.8%); cba (174, 38.8%); dca (46, 10.2%); dcb (10, 2.2%)",a,439,0.325909428359317,"a (439, 32.6%); b (403, 29.9%); d (275, 20.4%); c (230, 17.1%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
34,127,Tetragonal,127,1.0,"Tetragonal (127, 100.0%)",139,127,1.0,139,139,139-139,"139 (127, 100.0%)",tI14,103,0.8110236220472441,"tI14 (103, 81.1%); tI16 (24, 18.9%)",Tetragonal,127,1.0,"Tetragonal (127, 100.0%)",I (body-centered),127,1.0,"I (body-centered) (127, 100.0%)",14,16,14-16,e2ca,54,0.4251968503937008,"e2ca (54, 42.5%); edca (30, 23.6%); hda (12, 9.4%); e2dc (10, 7.9%); edcba (9, 7.1%)",e,182,0.36327345309381237,"e (182, 36.3%); a (113, 22.6%); c (106, 21.2%); d (66, 13.2%); b (16, 3.2%); h (13, 2.6%); g (3, 0.6%); j (1, 0.2%)",0.4763297013201154,6.328164918822004,2.9603717309126916,3.16750829299026,2.435729552975914,3.3533625428090215,0.476-6.328,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
35,223,Orthorhombic,223,1.0,"Orthorhombic (223, 100.0%)",74,187,0.8385650224215246,72,74,72-74,"74 (187, 83.9%); 72 (36, 16.1%)",oI12,148,0.6636771300448431,"oI12 (148, 66.4%); oI20 (60, 26.9%); oI16 (6, 2.7%); oI8 (6, 2.7%); oI4 (3, 1.3%)",Orthorhombic,223,1.0,"Orthorhombic (223, 100.0%)",I (body-centered),223,1.0,"I (body-centered) (223, 100.0%)",4,20,4-20,he,55,0.24663677130044842,"he (55, 24.7%); edb (41, 18.4%); ecb (32, 14.3%); j2a (16, 7.2%); ge2b (15, 6.7%)",e,235,0.3766025641025641,"e (235, 37.7%); b (110, 17.6%); h (67, 10.7%); j (59, 9.5%); d (43, 6.9%); a (40, 6.4%); c (37, 5.9%); g (28, 4.5%)",1.0543579783740893,4.773739565772785,1.76928282539644,1.6427303156556448,1.423931558630065,1.8665904039379966,1.054-4.774,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
36,479,Tetragonal,463,0.9665970772442589,"Tetragonal (463, 96.7%); Orthorhombic (16, 3.3%)",119,115,0.24008350730688935,20,141,20-141,"119 (115, 24.0%); 140 (74, 15.4%); 141 (57, 11.9%); 139 (50, 10.4%); 121 (39, 8.1%)",tI16,114,0.23799582463465555,"tI16 (114, 23.8%); tI12 (108, 22.5%); tI20 (96, 20.0%); tI10 (88, 18.4%); tI18 (26, 5.4%)",Tetragonal,463,0.9665970772442589,"Tetragonal (463, 96.7%); Orthorhombic (16, 3.3%)",I (body-centered),463,0.9665970772442589,"I (body-centered) (463, 96.7%); C (base-centered C) (16, 3.3%)",4,20,4-20,edca,78,0.162839248434238,"edca (78, 16.3%); ha (45, 9.4%); dba (31, 6.5%); eba (23, 4.8%); a3 (21, 4.4%)",a,499,0.2937021777516186,"a (499, 29.4%); e (292, 17.2%); b (246, 14.5%); d (221, 13.0%); c (170, 10.0%); h (150, 8.8%); i (62, 3.6%); f (27, 1.6%)",0.3797482232779485,7.207530760171202,2.1627395842998065,1.955636343956588,1.0343124444766612,2.563985014338763,0.380-7.208,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
37,309,Hexagonal,309,1.0,"Hexagonal (309, 100.0%)",187,309,1.0,187,187,187-187,"187 (309, 100.0%)",hP2,203,0.656957928802589,"hP2 (203, 65.7%); hP4 (106, 34.3%)",Hexagonal/Trigonal family,309,1.0,"Hexagonal/Trigonal family (309, 100.0%)",P (primitive),309,1.0,"P (primitive) (309, 100.0%)",2,4,2-4,da,77,0.24919093851132687,"da (77, 24.9%); eb (51, 16.5%); fc (40, 12.9%); hfe (22, 7.1%); fa (21, 6.8%)",d,128,0.17606602475928473,"d (128, 17.6%); a (117, 16.1%); f (106, 14.6%); e (104, 14.3%); c (92, 12.7%); b (77, 10.6%); g (45, 6.2%); i (31, 4.3%)",0.7184786829439739,3.678778244975884,1.914937977386393,1.6277235270465646,1.4923436490300928,2.7106730187056622,0.718-3.679,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
38,382,Orthorhombic,382,1.0,"Orthorhombic (382, 100.0%)",38,220,0.5759162303664922,38,63,38-63,"38 (220, 57.6%); 63 (162, 42.4%)",oC16,212,0.5549738219895288,"oC16 (212, 55.5%); oC20 (162, 42.4%); oC14 (8, 2.1%)",Orthorhombic,382,1.0,"Orthorhombic (382, 100.0%)",C (base-centered C),382,1.0,"C (base-centered C) (382, 100.0%)",14,20,14-20,edb2a2,180,0.4712041884816754,"edb2a2 (180, 47.1%); fc2a (116, 30.4%); b4a4 (24, 6.3%); fc2b (13, 3.4%); gc2a (13, 3.4%)",a,625,0.31017369727047145,"a (625, 31.0%); b (503, 25.0%); c (353, 17.5%); e (194, 9.6%); d (184, 9.1%); f (139, 6.9%); g (17, 0.8%)",0.2905176083081348,3.6890420122420906,1.2738307270627423,0.8856797815301004,0.7583803561665902,1.853012193964071,0.291-3.689,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
39,154,Tetragonal,154,1.0,"Tetragonal (154, 100.0%)",115,154,1.0,115,115,115-115,"115 (154, 100.0%)",tP10,42,0.2727272727272727,"tP10 (42, 27.3%); tP4 (42, 27.3%); tP7 (23, 14.9%); tP6 (16, 10.4%); tP8 (15, 9.7%)",Tetragonal,154,1.0,"Tetragonal (154, 100.0%)",P (primitive),154,1.0,"P (primitive) (154, 100.0%)",3,10,3-10,g3dcba,40,0.2597402597402597,"g3dcba (40, 26.0%); gca (33, 21.4%); g2cba (13, 8.4%); g2ba (11, 7.1%); g2dcb (9, 5.8%)",g,293,0.39648173207036536,"g (293, 39.6%); a (130, 17.6%); c (116, 15.7%); b (104, 14.1%); d (85, 11.5%); e (5, 0.7%); f (5, 0.7%); k (1, 0.1%)",1.0113424390036574,3.761499471349236,2.0497490130266707,2.183369087462559,1.429232494315943,2.471499316906078,1.011-3.761,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
40,348,Trigonal,348,1.0,"Trigonal (348, 100.0%)",148,177,0.5086206896551724,146,167,146-167,"148 (177, 50.9%); 167 (80, 23.0%); 146 (64, 18.4%); 161 (27, 7.8%)",hR30,219,0.6293103448275862,"hR30 (219, 62.9%); hR24 (102, 29.3%); hR27 (16, 4.6%); hR15 (5, 1.4%); hR18 (3, 0.9%)",Hexagonal/Trigonal family,348,1.0,"Hexagonal/Trigonal family (348, 100.0%)",R (rhombohedral),348,1.0,"R (rhombohedral) (348, 100.0%)",15,30,15-30,fba,58,0.16666666666666666,"fba (58, 16.7%); fc2 (52, 14.9%); fcba (43, 12.4%); b2a4 (38, 10.9%); eba (35, 10.1%)",a,411,0.35278969957081546,"a (411, 35.3%); b (305, 26.2%); c (192, 16.5%); f (177, 15.2%); e (80, 6.9%)",0.4818682953798748,4.267579539409647,2.5687367860918253,2.6732687572371674,2.4521133924616225,2.7821085589196652,0.482-4.268,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
41,105,Orthorhombic,105,1.0,"Orthorhombic (105, 100.0%)",62,105,1.0,62,62,62-62,"62 (105, 100.0%)",oP8,105,1.0,"oP8 (105, 100.0%)",Orthorhombic,105,1.0,"Orthorhombic (105, 100.0%)",P (primitive),105,1.0,"P (primitive) (105, 100.0%)",8,8,8-8,c2,105,1.0,"c2 (105, 100.0%)",c,210,1.0,"c (210, 100.0%)",1.134700009366781,3.707764676250268,1.8523564049013277,1.7609417613459175,1.6252593880647364,1.983884281607839,1.135-3.708,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
42,270,Cubic,270,1.0,"Cubic (270, 100.0%)",216,270,1.0,216,216,216-216,"216 (270, 100.0%)",cF24,237,0.8777777777777778,"cF24 (237, 87.8%); cF40 (24, 8.9%); cF36 (5, 1.9%); cF28 (2, 0.7%); cF20 (1, 0.4%)",Cubic,270,1.0,"Cubic (270, 100.0%)",F (face-centered),270,1.0,"F (face-centered) (270, 100.0%)",20,40,20-40,eda,186,0.6888888888888889,"eda (186, 68.9%); eca (36, 13.3%); fdcba (16, 5.9%); eba (8, 3.0%); gdcba (6, 2.2%)",a,261,0.30243337195828507,"a (261, 30.2%); e (247, 28.6%); d (220, 25.5%); c (70, 8.1%); b (39, 4.5%); f (20, 2.3%); g (6, 0.7%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
43,148,Orthorhombic,148,1.0,"Orthorhombic (148, 100.0%)",38,148,1.0,38,38,38-38,"38 (148, 100.0%)",oC12,92,0.6216216216216216,"oC12 (92, 62.2%); oC20 (31, 20.9%); oC18 (25, 16.9%)",Orthorhombic,148,1.0,"Orthorhombic (148, 100.0%)",C (base-centered C),148,1.0,"C (base-centered C) (148, 100.0%)",12,20,12-20,b3a3,79,0.5337837837837838,"b3a3 (79, 53.4%); b5a4 (10, 6.8%); edba (9, 6.1%); ed2b2a (8, 5.4%); ed2b2a2 (8, 5.4%)",b,407,0.4366952789699571,"b (407, 43.7%); a (386, 41.4%); d (60, 6.4%); e (42, 4.5%); c (29, 3.1%); f (8, 0.9%)",0.3524053660165393,5.986289306285481,1.291696049917274,1.4655463734366037,0.977098828883534,1.5910329338913776,0.352-5.986,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
44,1636,Hexagonal,1195,0.730440097799511,"Hexagonal (1195, 73.0%); Trigonal (441, 27.0%)",189,629,0.38447432762836187,143,194,143-194,"189 (629, 38.4%); 164 (235, 14.4%); 187 (208, 12.7%); 186 (147, 9.0%); 156 (131, 8.0%)",hP9,715,0.43704156479217604,"hP9 (715, 43.7%); hP6 (523, 32.0%); hP10 (157, 9.6%); hP8 (137, 8.4%); hP5 (61, 3.7%)",Hexagonal/Trigonal family,1636,1.0,"Hexagonal/Trigonal family (1636, 100.0%)",P (primitive),1636,1.0,"P (primitive) (1636, 100.0%)",5,10,5-10,gfcb,350,0.2139364303178484,"gfcb (350, 21.4%); gfda (204, 12.5%); b2a (120, 7.3%); keca (69, 4.2%); d2ba (67, 4.1%)",b,1269,0.1983742379240269,"b (1269, 19.8%); a (1114, 17.4%); d (958, 15.0%); c (955, 14.9%); f (770, 12.0%); g (696, 10.9%); e (183, 2.9%); h (154, 2.4%)",0.2712780495297826,10.130191548240628,1.6198541079908821,0.8946283938722553,0.5675161373169858,1.9995627383029935,0.271-10.130,90.0,90.62190169403696,90.0003801355098,90.0,90.0,90.0,90.00-90.62
45,195,Trigonal,195,1.0,"Trigonal (195, 100.0%)",166,195,1.0,166,166,166-166,"166 (195, 100.0%)",hR6,101,0.517948717948718,"hR6 (101, 51.8%); hR9 (87, 44.6%); hR3 (7, 3.6%)",Hexagonal/Trigonal family,195,1.0,"Hexagonal/Trigonal family (195, 100.0%)",R (rhombohedral),195,1.0,"R (rhombohedral) (195, 100.0%)",3,9,3-9,ba,94,0.48205128205128206,"ba (94, 48.2%); ca (74, 37.9%); cb (13, 6.7%); c (7, 3.6%); a (6, 3.1%)",a,174,0.4627659574468085,"a (174, 46.3%); b (108, 28.7%); c (94, 25.0%)",1.0646673567554357,11.12443027324123,5.05205265369223,4.914642841567372,4.664512244202642,5.573699558061806,1.065-11.124,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
46,218,Cubic,218,1.0,"Cubic (218, 100.0%)",225,161,0.7385321100917431,225,227,225-227,"225 (161, 73.9%); 227 (57, 26.1%)",cF36,120,0.5504587155963303,"cF36 (120, 55.0%); cF32 (49, 22.5%); cF40 (48, 22.0%); cF28 (1, 0.5%)",Cubic,218,1.0,"Cubic (218, 100.0%)",F (face-centered),218,1.0,"F (face-centered) (218, 100.0%)",28,40,28-40,eca,112,0.5137614678899083,"eca (112, 51.4%); eb (45, 20.6%); eba (25, 11.5%); dba (20, 9.2%); ecb (7, 3.2%)",e,193,0.31900826446280994,"e (193, 31.9%); a (165, 27.3%); c (124, 20.5%); b (102, 16.9%); d (21, 3.5%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
47,99,Tetragonal,99,1.0,"Tetragonal (99, 100.0%)",99,99,1.0,99,99,99-99,"99 (99, 100.0%)",tP10,27,0.2727272727272727,"tP10 (27, 27.3%); tP6 (22, 22.2%); tP5 (20, 20.2%); tP9 (16, 16.2%); tP8 (6, 6.1%)",Tetragonal,99,1.0,"Tetragonal (99, 100.0%)",P (primitive),99,1.0,"P (primitive) (99, 100.0%)",3,10,3-10,cb2a2,18,0.18181818181818182,"cb2a2 (18, 18.2%); c2b3a3 (16, 16.2%); cb2a (12, 12.1%); c2b2a3 (8, 8.1%); cba2 (8, 8.1%)",a,229,0.38747884940778343,"a (229, 38.7%); b (228, 38.6%); c (131, 22.2%); d (3, 0.5%)",0.7064898137515118,4.837719476150686,1.961025812715953,2.03725243962821,1.3119942255981942,2.3735318290611342,0.706-4.838,90.0,91.30518429668136,90.01944780602099,90.0,90.0,90.0,90.00-91.31
48,95,Hexagonal,95,1.0,"Hexagonal (95, 100.0%)",186,95,1.0,186,186,186-186,"186 (95, 100.0%)",hP4,95,1.0,"hP4 (95, 100.0%)",Hexagonal/Trigonal family,95,1.0,"Hexagonal/Trigonal family (95, 100.0%)",P (primitive),95,1.0,"P (primitive) (95, 100.0%)",4,4,4-4,b2,92,0.968421052631579,"b2 (92, 96.8%); ba (3, 3.2%)",b,187,0.9842105263157894,"b (187, 98.4%); a (3, 1.6%)",1.3503421211829283,3.931874050108371,1.8621073039019087,1.6715071665341945,1.6238723743038694,1.8421030667677178,1.350-3.932,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
49,156,Trigonal,156,1.0,"Trigonal (156, 100.0%)",160,156,1.0,160,160,160-160,"160 (156, 100.0%)",hR12,129,0.8269230769230769,"hR12 (129, 82.7%); hR9 (18, 11.5%); hR6 (9, 5.8%)",Hexagonal/Trigonal family,156,1.0,"Hexagonal/Trigonal family (156, 100.0%)",R (rhombohedral),156,1.0,"R (rhombohedral) (156, 100.0%)",6,12,6-12,a4,127,0.8141025641025641,"a4 (127, 81.4%); a3 (18, 11.5%); a2 (9, 5.8%); ba (2, 1.3%)",a,582,0.9965753424657534,"a (582, 99.7%); b (2, 0.3%)",0.2517277863564717,10.984986760981515,5.198683092381279,4.929731237434035,4.877189674472122,5.7032893433398275,0.252-10.985,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
50,169,Cubic,169,1.0,"Cubic (169, 100.0%)",225,169,1.0,225,225,225-225,"225 (169, 100.0%)",cF12,101,0.5976331360946746,"cF12 (101, 59.8%); cF4 (68, 40.2%)",Cubic,169,1.0,"Cubic (169, 100.0%)",F (face-centered),169,1.0,"F (face-centered) (169, 100.0%)",4,12,4-12,ca,97,0.5739644970414202,"ca (97, 57.4%); a (67, 39.6%); cb (4, 2.4%); b (1, 0.6%)",a,164,0.6074074074074074,"a (164, 60.7%); c (101, 37.4%); b (5, 1.9%)",1.0,2.403302000560489,1.0163203555460638,1.0,1.0,1.0,1.000-2.403,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
51,134,Tetragonal,134,1.0,"Tetragonal (134, 100.0%)",129,134,1.0,129,129,129-129,"129 (134, 100.0%)",tP10,134,1.0,"tP10 (134, 100.0%)",Tetragonal,134,1.0,"Tetragonal (134, 100.0%)",P (primitive),134,1.0,"P (primitive) (134, 100.0%)",10,10,10-10,c3ba,124,0.9253731343283582,"c3ba (124, 92.5%); c4b (5, 3.7%); c4a (1, 0.7%); c5 (1, 0.7%); ec2a (1, 0.7%)",c,408,0.6116941529235382,"c (408, 61.2%); b (129, 19.3%); a (127, 19.0%); f (2, 0.3%); e (1, 0.1%)",0.8755503931597663,4.443817726890346,2.395538136980411,2.329574997160515,2.2672943454680055,2.3935058783856116,0.876-4.444,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
52,92,Tetragonal,92,1.0,"Tetragonal (92, 100.0%)",107,92,1.0,107,107,107-107,"107 (92, 100.0%)",tI10,90,0.9782608695652174,"tI10 (90, 97.8%); tI12 (1, 1.1%); tI8 (1, 1.1%)",Tetragonal,92,1.0,"Tetragonal (92, 100.0%)",I (body-centered),92,1.0,"I (body-centered) (92, 100.0%)",8,12,8-12,ba3,90,0.9782608695652174,"ba3 (90, 97.8%); a4 (1, 1.1%); ba4 (1, 1.1%)",a,278,0.7533875338753387,"a (278, 75.3%); b (91, 24.7%)",2.149759632380727,3.970112628990053,2.50532235693105,2.3420169216309397,2.297874046866212,2.4941246124421905,2.150-3.970,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
