cluster,n_materials,dominant_crystal_system_from_sg,crystal_system_count,crystal_system_fraction,top_crystal_systems_from_sg,representative_space_group,space_group_count,space_group_fraction,space_group_min,space_group_max,space_group_range,top_space_groups,dominant_pearson_symbol,pearson_symbol_count,pearson_symbol_fraction,top_pearson_symbols,dominant_pearson_crystal_family,pearson_crystal_family_count,pearson_crystal_family_fraction,top_pearson_crystal_families,dominant_bravais_lattice,bravais_lattice_count,bravais_lattice_fraction,top_bravais_lattices,pearson_atom_count_min,pearson_atom_count_max,pearson_atom_count_range,dominant_wyckoff_sequence,wyckoff_sequence_count,wyckoff_sequence_fraction,top_wyckoff_sequences,dominant_wyckoff_position,wyckoff_position_count,wyckoff_position_fraction,top_wyckoff_positions,c_a_ratio_min,c_a_ratio_max,c_a_ratio_mean,c_a_ratio_median,c_a_ratio_q25,c_a_ratio_q75,c_a_ratio_range,beta_angle_min,beta_angle_max,beta_angle_mean,beta_angle_median,beta_angle_q25,beta_angle_q75,beta_angle_range
13,279,Hexagonal,277,0.992831541218638,"Hexagonal (277, 99.3%); Trigonal (2, 0.7%)",191,277,0.992831541218638,152,191,152-191,"191 (277, 99.3%); 152 (1, 0.4%); 154 (1, 0.4%)",hP6,270,0.967741935483871,"hP6 (270, 96.8%); hP7 (5, 1.8%); hP5 (4, 1.4%)",Hexagonal/Trigonal family,279,1.0,"Hexagonal/Trigonal family (279, 100.0%)",P (primitive),279,1.0,"P (primitive) (279, 100.0%)",5,7,5-7,gca,214,0.7670250896057348,"gca (214, 76.7%); hba (19, 6.8%); fda (18, 6.5%); fdb (15, 5.4%); fd (2, 0.7%)",a,256,0.30843373493975906,"a (256, 30.8%); c (218, 26.3%); g (214, 25.8%); d (39, 4.7%); f (38, 4.6%); b (37, 4.5%); h (20, 2.4%); e (6, 0.7%)",0.512850878621663,4.951922070529021,0.8570882123121277,0.7836158832098524,0.6071819703555748,0.8164908701127672,0.513-4.952,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
14,254,Orthorhombic,254,1.0,"Orthorhombic (254, 100.0%)",71,254,1.0,71,71,71-71,"71 (254, 100.0%)",oI10,77,0.3031496062992126,"oI10 (77, 30.3%); oI12 (65, 25.6%); oI18 (49, 19.3%); oI14 (36, 14.2%); oI20 (17, 6.7%)",Orthorhombic,254,1.0,"Orthorhombic (254, 100.0%)",I (body-centered),254,1.0,"I (body-centered) (254, 100.0%)",10,20,10-20,jha,47,0.18503937007874016,"jha (47, 18.5%); jida (24, 9.4%); i2da (14, 5.5%); jia (14, 5.5%); liha (14, 5.5%)",i,209,0.21502057613168724,"i (209, 21.5%); a (199, 20.5%); j (194, 20.0%); d (100, 10.3%); h (100, 10.3%); l (69, 7.1%); b (38, 3.9%); c (37, 3.8%)",1.145194197286132,6.006186216270034,3.058112649331666,3.013028778861768,2.242034361643455,3.482438677424756,1.145-6.006,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
15,494,Tetragonal,494,1.0,"Tetragonal (494, 100.0%)",139,438,0.8866396761133604,107,140,107-140,"139 (438, 88.7%); 107 (54, 10.9%); 140 (2, 0.4%)",tI8,440,0.8906882591093117,"tI8 (440, 89.1%); tI14 (51, 10.3%); tI20 (2, 0.4%); tI16 (1, 0.2%)",Tetragonal,494,1.0,"Tetragonal (494, 100.0%)",I (body-centered),494,1.0,"I (body-centered) (494, 100.0%)",8,20,8-20,dba,433,0.8765182186234818,"dba (433, 87.7%); ba5 (49, 9.9%); h (3, 0.6%); b2a3 (2, 0.4%); cb2a2 (2, 0.4%)",a,694,0.4252450980392157,"a (694, 42.5%); b (494, 30.3%); d (434, 26.6%); e (5, 0.3%); h (3, 0.2%); c (2, 0.1%)",0.5772850358077531,8.230501611361776,2.276955059097777,2.112897830409718,1.99824180223295,2.290184718149324,0.577-8.231,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
16,299,Cubic,299,1.0,"Cubic (299, 100.0%)",215,91,0.30434782608695654,198,223,198-223,"215 (91, 30.4%); 223 (74, 24.7%); 221 (72, 24.1%); 200 (33, 11.0%); 198 (29, 9.7%)",cP8,185,0.6187290969899666,"cP8 (185, 61.9%); cP9 (50, 16.7%); cP7 (49, 16.4%); cP10 (12, 4.0%); cP5 (3, 1.0%)",Cubic,299,1.0,"Cubic (299, 100.0%)",P (primitive),299,1.0,"P (primitive) (299, 100.0%)",5,10,5-10,ca,69,0.23076923076923078,"ca (69, 23.1%); edba (42, 14.0%); fba (33, 11.0%); a2 (29, 9.7%); dcba (25, 8.4%)",a,302,0.3595238095238095,"a (302, 36.0%); b (137, 16.3%); c (131, 15.6%); e (114, 13.6%); d (98, 11.7%); f (57, 6.8%); g (1, 0.1%)",1.0,1.0,1.0,1.0,1.0,1.0,1.000-1.000,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
17,354,Tetragonal,354,1.0,"Tetragonal (354, 100.0%)",129,354,1.0,129,129,129-129,"129 (354, 100.0%)",tP6,314,0.8870056497175142,"tP6 (314, 88.7%); tP4 (40, 11.3%)",Tetragonal,354,1.0,"Tetragonal (354, 100.0%)",P (primitive),354,1.0,"P (primitive) (354, 100.0%)",4,6,4-6,c2a,293,0.827683615819209,"c2a (293, 82.8%); ca (23, 6.5%); c2 (15, 4.2%); c3 (8, 2.3%); c2b (7, 2.0%)",c,685,0.6702544031311155,"c (685, 67.0%); a (322, 31.5%); b (15, 1.5%)",0.6334890743979541,3.149413824325406,1.8889837126341438,1.8663902672377561,1.6913918533300178,2.065888536091475,0.633-3.149,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
18,759,Tetragonal,703,0.9262187088274044,"Tetragonal (703, 92.6%); Orthorhombic (56, 7.4%)",139,701,0.9235836627140975,59,139,59-139,"139 (701, 92.4%); 59 (56, 7.4%); 121 (2, 0.3%)",tI10,666,0.8774703557312253,"tI10 (666, 87.7%); oP8 (38, 5.0%); tI12 (37, 4.9%); oP10 (18, 2.4%)",Tetragonal,703,0.9262187088274044,"Tetragonal (703, 92.6%); Orthorhombic (56, 7.4%)",I (body-centered),703,0.9262187088274044,"I (body-centered) (703, 92.6%); P (primitive) (56, 7.4%)",8,12,8-12,eda,614,0.8089591567852438,"eda (614, 80.9%); e2a (39, 5.1%); eba (29, 3.8%); edba (25, 3.3%); e2b (18, 2.4%)",e,814,0.3523809523809524,"e (814, 35.2%); a (738, 31.9%); d (645, 27.9%); b (94, 4.1%); c (15, 0.6%); i (2, 0.1%); f (1, 0.0%); j (1, 0.0%)",0.3823649013512424,6.295214455705255,2.69103096877074,2.5184847499270497,2.3879920873123828,2.8523353615899487,0.382-6.295,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
19,395,Trigonal,395,1.0,"Trigonal (395, 100.0%)",166,395,1.0,166,166,166-166,"166 (395, 100.0%)",hR12,395,1.0,"hR12 (395, 100.0%)",Hexagonal/Trigonal family,395,1.0,"Hexagonal/Trigonal family (395, 100.0%)",R (rhombohedral),395,1.0,"R (rhombohedral) (395, 100.0%)",12,12,12-12,cba,378,0.9569620253164557,"cba (378, 95.7%); c2 (15, 3.8%); da (1, 0.3%); ea (1, 0.3%)",c,408,0.3493150684931507,"c (408, 34.9%); a (380, 32.5%); b (378, 32.4%); d (1, 0.1%); e (1, 0.1%)",0.5490189581338167,14.401670695307487,5.55786178873436,5.019276965349179,4.886264564974853,5.545978885908516,0.549-14.402,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
20,259,Trigonal,259,1.0,"Trigonal (259, 100.0%)",160,186,0.7181467181467182,155,160,155-160,"160 (186, 71.8%); 155 (73, 28.2%)",hR18,88,0.33976833976833976,"hR18 (88, 34.0%); hR21 (43, 16.6%); hR15 (42, 16.2%); hR30 (36, 13.9%); hR24 (35, 13.5%)",Hexagonal/Trigonal family,259,1.0,"Hexagonal/Trigonal family (259, 100.0%)",R (rhombohedral),259,1.0,"R (rhombohedral) (259, 100.0%)",12,30,12-30,dcb,39,0.15057915057915058,"dcb (39, 15.1%); a7 (36, 13.9%); a6 (29, 11.2%); a8 (29, 11.2%); a10 (25, 9.7%)",a,1172,0.812760055478502,"a (1172, 81.3%); b (119, 8.3%); c (68, 4.7%); d (56, 3.9%); e (26, 1.8%); f (1, 0.1%)",0.2274013252084571,40.25269491125771,5.998664272726606,4.897500313662324,2.690588362337574,9.752934654501235,0.227-40.253,90.0,90.65836487174856,90.00290515263234,90.0,90.0,90.0,90.00-90.66
21,245,Hexagonal,245,1.0,"Hexagonal (245, 100.0%)",194,245,1.0,194,194,194-194,"194 (245, 100.0%)",hP4,197,0.8040816326530612,"hP4 (197, 80.4%); hP2 (48, 19.6%)",Hexagonal/Trigonal family,245,1.0,"Hexagonal/Trigonal family (245, 100.0%)",P (primitive),245,1.0,"P (primitive) (245, 100.0%)",2,4,2-4,ca,161,0.6571428571428571,"ca (161, 65.7%); c (43, 17.6%); dc (18, 7.3%); da (10, 4.1%); d (5, 2.0%)",c,223,0.5102974828375286,"c (223, 51.0%); a (171, 39.1%); d (35, 8.0%); f (5, 1.1%); b (3, 0.7%)",0.7428854874531632,6.076730012761384,1.885825649873278,1.6503704784570354,1.412614655318655,1.989166671585973,0.743-6.077,90.0,92.54603769323516,90.01039199058464,90.0,90.0,90.0,90.00-92.55
22,552,Cubic,482,0.8731884057971014,"Cubic (482, 87.3%); Tetragonal (70, 12.7%)",221,430,0.7789855072463768,139,229,139-229,"221 (430, 77.9%); 139 (70, 12.7%); 229 (52, 9.4%)",cP2,413,0.7481884057971014,"cP2 (413, 74.8%); tI6 (53, 9.6%); cI2 (52, 9.4%); cP1 (17, 3.1%); tI2 (14, 2.5%)",Cubic,482,0.8731884057971014,"Cubic (482, 87.3%); Tetragonal (70, 12.7%)",P (primitive),430,0.7789855072463768,"P (primitive) (430, 77.9%); I (body-centered) (122, 22.1%)",1,6,1-6,ba,416,0.7536231884057971,"ba (416, 75.4%); a (76, 13.8%); ea (41, 7.4%); b (7, 1.3%); eb (6, 1.1%)",a,538,0.5269343780607247,"a (538, 52.7%); b (430, 42.1%); e (47, 4.6%); d (5, 0.5%); c (1, 0.1%)",0.3360117552836588,4.616718663268935,1.1680929916973528,1.0,1.0,1.0,0.336-4.617,90.0,90.0,90.0,90.0,90.0,90.0,90.00-90.00
